spin,bet,normalWin,freeSpinWin,bonusWin,totalWin,rtp_cumulative
10000,100000,1538790,323200,1150,1863140,1863.14%
20000,200000,3078550,616220,1650,3696420,1848.21%
30000,300000,4619250,894220,1650,5515120,1838.37%
40000,400000,6107230,1191020,1650,7299900,1824.98%
50000,500000,7686670,1545300,1650,9233620,1846.72%
60000,600000,9258400,1817980,1900,11078280,1846.38%
70000,700000,10850320,2119920,1900,12972140,1853.16%
80000,800000,12353350,2395480,3800,14752630,1844.08%
90000,900000,13908060,2712880,4300,16625240,1847.25%
100000,1000000,15467040,3020940,4650,18492630,1849.26%
